SampleID;Tissue;Factor;Condition;Treatment;Replicate;bamReads;Peaks;PeakCaller;PeakFormat;
MPIPSYKL_002383;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_11C_dex_S6.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_11C_dex_S6_peaks.narrowPeak.filt.gz;macs;narrow;11C
MPIPSYKL_002658;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_17D_veh_S51.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_17D_veh_S51_peaks.narrowPeak.filt.gz;macs;narrow;17D
MPIPSYKL_001766;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_14C_dex_S37.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_14C_dex_S37_peaks.narrowPeak.filt.gz;macs;narrow;14C
MPIPSYKL_002852;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_17C_dex_S76.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_17C_dex_S76_peaks.narrowPeak.filt.gz;macs;narrow;17C
MPIPSYKL_001263;;ATAC;high;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_7D_dex_S34.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_7D_dex_S34_peaks.narrowPeak.filt.gz;macs;narrow;7D
MPIPSYKL_004198;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_16C_veh_S15.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_16C_veh_S15_peaks.narrowPeak.filt.gz;macs;narrow;16C
MPIPSYKL_003353;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_10D_dex_S39.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_10D_dex_S39_peaks.narrowPeak.filt.gz;macs;narrow;10D
MPIPSYKL_001667;;ATAC;high;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_3D_dex_S25.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_3D_dex_S25_peaks.narrowPeak.filt.gz;macs;narrow;3D
MPIPSYKL_002319;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_16E_dex_S23.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_16E_dex_S23_peaks.narrowPeak.filt.gz;macs;narrow;16E
MPIPSYKL_003785;;ATAC;high;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_14A_veh_S65.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_14A_veh_S65_peaks.narrowPeak.filt.gz;macs;narrow;14A
MPIPSYKL_001048;;ATAC;high;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_10B_dex_S47.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_10B_dex_S47_peaks.narrowPeak.filt.gz;macs;narrow;10B
MPIPSYKL_002095;;ATAC;low;dex;2;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_12C_dex_S81.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_12C_dex_S81_peaks.narrowPeak.filt.gz;macs;narrow;12C
MPIPSYKL_002088;;ATAC;low;veh;1;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/07_filter_CNV/mpg_L18015_10A_veh_S77.cutadapt.sorted.filtered.rmDups.noCNV.bam;/Users/anastasiia_hry/Documents/MPIP/SIgne/08_peaks/06_MASC2_callpeak/mpg_L18015_10A_veh_S77_peaks.narrowPeak.filt.gz;macs;narrow;10A
